page,depth,topology_id,R_theta,G_theta,B_theta,R_theta_min,R_theta_max,G_theta_min,G_theta_max,B_theta_min,B_theta_max,entropy_R,entropy_G,entropy_B,mean_entanglement_entropy,entropy_range_min,entropy_range_max,measurement_shannon_entropy
1,3,1,4.329328234260684,4.391732972104583,2.0489893361229448,4.163328234260684,4.495328234260684,4.270552972104583,4.512912972104583,1.9809293361229448,2.1170493361229448,0.8012862119201851,0.8228204440801172,0.38364924149686186,0.669251965832388,0.6562234289476057,0.6739835919825007,2.664470058691692
2,4,2,1.9293650045320307,0.5085108946536494,0.20868696710172413,1.7573650045320308,2.1013650045320307,0.3829508946536494,0.6340708946536494,0.13816696710172413,0.2792069671017241,0.9805621922856578,0.5486620775064668,0.9845698896324954,0.8379313864748733,0.7980351017413563,0.924211687577241,2.350784266697305
3,2,3,5.812587081982964,2.9084741243823036,4.651569905260089,5.634587081982964,5.990587081982964,2.7785341243823036,3.0384141243823035,4.578589905260089,4.72454990526009,0.17196518533621266,0.9052467039319407,0.9055243835551915,0.6609120909411149,0.6496821996140069,0.6631488176457921,1.195072458546934
4,3,0,3.4126238522543124,5.308437354110956,2.811267536238872,3.2286238522543123,3.5966238522543126,5.174117354110956,5.442757354110956,2.735827536238872,2.886707536238872,0.2829949648825846,0.3705627614030701,0.45855355698051947,0.3707037610887247,0.3390197941180244,0.4640610014767021,0.8569351480722238
5,4,1,1.0126606225256598,1.4252152766600246,0.9709651672176487,0.8226606225256599,1.2026606225256598,1.2865152766600245,1.5639152766600246,0.8930651672176487,1.0488651672176488,0.3751152807804423,0.6866532362890951,0.6691974018887944,0.5769886396527774,0.4531005262895635,0.6879464925936866,2.227748580364421
6,2,2,4.895882699976593,3.8251785063886805,5.413848105376017,4.699882699976594,5.091882699976593,3.6820985063886806,3.9682585063886804,5.333488105376017,5.494208105376017,0.6849396152264492,0.6466552376913959,0.16411352158882647,0.4985694581688906,0.32179178852109463,0.6498965738006649,1.9157841194196066
7,3,3,2.4959194702479373,6.225141736117333,3.573545736354794,2.2939194702479373,2.697919470247937,6.077681736117333,6.372601736117333,3.490725736354794,3.6563657363547937,0.3200549954943891,0.4562234047967896,0.3858649900158848,0.3873811301023545,0.24189113633190193,0.6767677775251478,2.172027727465092
8,4,0,0.09595624051928452,2.3419196586664,1.733243367333576,-0.1120437594807155,0.30395624051928455,2.1900796586664,2.4937596586664,1.647963367333576,1.8185233673335761,0.3736577738148608,0.330788893643874,0.24178675812466788,0.3154111418611342,0.07324575984510537,0.538717667144,1.7653997865429212
9,2,1,3.979178317970218,4.741882888395053,6.176126305491945,3.765178317970218,4.193178317970218,4.585662888395053,4.898102888395053,6.0883863054919445,6.263866305491945,0.7737767421055022,0.7385801683683986,0.9061150892624893,0.8061573332454633,0.7594671889728538,0.8497604127585993,2.198549718820097
10,3,2,1.579215088241565,0.8586608109441194,4.335823936470721,1.359215088241565,1.799215088241565,0.6980608109441194,1.0192608109441195,4.245623936470721,4.426023936470721,0.8185708353405304,0.7752977019431966,0.8253428062009647,0.8064037811615639,0.7515718426113951,0.9139262490316868,2.76689458863459
11,4,3,5.462437165692498,3.2586240406727778,2.4955215674495035,5.302437165692498,5.6224371656924985,3.1418240406727778,3.375424040672778,2.4299215674495036,2.5611215674495034,0.35554667937658796,0.38009938511385805,0.34482718569824844,0.36015775006289813,0.2954504101742443,0.45397049199386036,2.55109662166943
12,2,0,3.0624739359638453,5.658587270401431,0.6552191984282857,2.8964739359638454,3.2284739359638452,5.537407270401431,5.779767270401431,0.5871591984282857,0.7232791984282857,0.9408971724006857,0.8916694664787532,0.5017354637547736,0.7781007008780709,0.712152613367769,0.8115775425220244,2.0590492145894865
13,3,1,0.6625107062351926,1.7753651929504974,5.098102136586654,0.49051070623519255,0.8345107062351926,1.6498051929504975,1.9009251929504973,5.027582136586654,5.168622136586654,0.6604162515959605,0.38818946617222616,0.5122076194996145,0.5202711124226004,0.4326266575594318,0.5637858873737597,1.7629007009147086
14,4,2,4.545732783686126,4.175328422679151,3.2577997675654253,4.367732783686126,4.723732783686126,4.04538842267915,4.305268422679151,3.1848197675654255,3.330779767565425,0.8702676018897679,0.7030540483771028,0.671269984451158,0.7481972115726764,0.6419220348363409,0.8468334695300345,2.689258343383256
15,2,3,2.145769553957473,0.292106345228217,1.4174973985442074,1.9617695539574729,2.329769553957473,0.157786345228217,0.426426345228217,1.3420573985442075,1.4929373985442074,0.37057716676200647,0.485921451201408,0.6359954444273418,0.4974980207969188,0.3276885517933245,0.6480405714781168,1.128396538727503
16,3,0,6.028991631408406,2.6920695749568697,5.860380336702576,5.838991631408406,6.218991631408406,2.5533695749568697,2.8307695749568698,5.7824803367025766,5.938280336702576,0.5357304568521758,0.6144185069822419,0.4709957649442275,0.5403815762595484,0.39920248350575704,0.6632432698044265,2.2968290669082125
17,4,1,3.6290284016797534,5.092032804685522,4.020077967681358,3.433028401679753,3.8250284016797536,4.948952804685522,5.235112804685523,3.9397179676813576,4.100437967681358,0.4744107653479687,0.20429918661217636,0.538256825746629,0.4056555925689247,0.4054942733643127,0.4806811804307549,2.4286878155654836
18,2,2,1.2290651719511005,1.2088107272345894,2.1797755986601404,1.0270651719511006,1.4310651719511005,1.0613507272345895,1.3562707272345893,2.0969555986601405,2.2625955986601403,0.9286729540538505,0.922277049070989,0.46865139220960317,0.773200465111481,0.6877272999931866,0.7952334837149463,2.047398944937711
19,3,3,5.1122872494020335,3.608773956963248,0.33947322963891147,4.904287249402033,5.320287249402034,3.456933956963248,3.760613956963248,0.25419322963891144,0.4247532296389115,0.4177605583734607,0.5829886170557341,0.5142982498280266,0.5050158084190738,0.5043349596160337,0.5703521251810821,1.968712532644942
20,4,0,2.712324019673381,6.008737186691901,4.78235616779728,2.498324019673381,2.926324019673381,5.852517186691901,6.164957186691901,4.69461616779728,4.87009616779728,0.4161673834283449,0.8051681953406804,0.693929965331707,0.6384218480335775,0.5427979489855989,0.74594806436186,2.694563149294475
21,2,1,0.31236078994472816,2.1255151092409617,2.942053798776062,0.09236078994472816,0.5323607899447281,1.9649151092409616,2.2861151092409617,2.8518537987760624,3.032253798776062,0.2934807836680188,0.06730301815943457,0.2970928104439958,0.21929220409048308,0.16886965853466332,0.3242873395296912,2.064194401961359
22,3,2,4.195582867395662,4.525478338969626,1.1017514297548445,4.035582867395662,4.355582867395662,4.408678338969627,4.642278338969626,1.0361514297548444,1.1673514297548446,0.4450499914229268,0.44385359725779494,0.04164385395127529,0.31018248087733236,0.09334976099329383,0.5236609521219552,1.7202102118371592
